"interaction_id","conversation_id","lead_id","campaign_id","timestamp","channel","event_type","agent_id","variant_id","outcome","metadata_json"
"INT00000001","C0000001","L0000001","CMP0022","2025-08-24T16:15:40","Ads","email_sent","EN-002","VAR00035","none","{""duration_sec"": 752, ""utm"": {""source"": ""Referral"", ""campaign"": ""CMP0022""}}"
"INT00000002","C0000001","L0000001","CMP0022","2025-08-26T10:31:30","Email","sms_sent","EN-004","VAR00101","callback_requested","{""duration_sec"": 477, ""utm"": {""source"": ""Referral"", ""campaign"": ""CMP0022""}}"
"INT00000003","C0000001","L0000001","CMP0022","2025-08-27T17:19:33","Social","site_visit","EN-002","VAR00071","negative","{""duration_sec"": 792, ""utm"": {""source"": ""Referral"", ""campaign"": ""CMP0022""}}"
"INT00000004","C0000001","L0000001","CMP0022","2025-08-28T01:16:36","Call","call_answered","EN-002","VAR00101","none","{""duration_sec"": 405, ""utm"": {""source"": ""Referral"", ""campaign"": ""CMP0022""}}"
"INT00000005","C0000001","L0000001","CMP0022","2025-08-28T12:41:42","SMS","social_comment","EN-019","VAR00024","callback_requested","{""duration_sec"": 220, ""utm"": {""source"": ""Referral"", ""campaign"": ""CMP0022""}}"
"INT00000006","C0000001","L0000001","CMP0022","2025-08-28T16:47:38","Web","call_answered","EN-001","VAR00052","positive","{""duration_sec"": 210, ""utm"": {""source"": ""Referral"", ""campaign"": ""CMP0022""}}"
"INT00000007","C0000001","L0000001","CMP0022","2025-08-28T21:41:22","SMS","email_sent","EN-019","VAR00053","unsubscribe","{""duration_sec"": 644, ""utm"": {""source"": ""Referral"", ""campaign"": ""CMP0022""}}"
"INT00000008","C0000001","L0000001","CMP0022","2025-08-28T23:57:12","Web","email_click","EN-002","VAR00049","none","{""duration_sec"": 281, ""utm"": {""source"": ""Referral"", ""campaign"": ""CMP0022""}}"
"INT00000009","C0000002","L0000002","CMP0004","2025-08-20T07:51:38","Call","social_comment","EN-005","VAR00067","negative","{""duration_sec"": 158, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0004""}}"
"INT00000010","C0000002","L0000002","CMP0004","2025-08-23T08:20:58","SMS","site_visit","EN-019","VAR00016","positive","{""duration_sec"": 418, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0004""}}"
"INT00000011","C0000002","L0000002","CMP0004","2025-08-28T14:41:24","Web","reply","EN-017","VAR00082","callback_requested","{""duration_sec"": 531, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0004""}}"
"INT00000012","C0000002","L0000002","CMP0004","2025-08-28T22:44:34","Ads","email_sent","EN-016","VAR00051","positive","{""duration_sec"": 519, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0004""}}"
"INT00000013","C0000002","L0000002","CMP0004","2025-08-28T23:11:45","Call","call_answered","EN-011","VAR00034","positive","{""duration_sec"": 850, ""utm"": {""source"": ""Outbound"", ""campaign"": ""CMP0004""}}"
"INT00000014","C0000003","L0000003","CMP0027","2025-08-28T12:58:35","SMS","call_made","EN-004","VAR00037","callback_requested","{""duration_sec"": 806, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0027""}}"
"INT00000015","C0000003","L0000003","CMP0027","2025-08-28T15:24:09","Ads","sms_reply","EN-005","VAR00042","negative","{""duration_sec"": 676, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0027""}}"
"INT00000016","C0000003","L0000003","CMP0027","2025-08-28T22:34:28","Ads","sms_reply","EN-019","VAR00020","callback_requested","{""duration_sec"": 815, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0027""}}"
"INT00000017","C0000003","L0000003","CMP0027","2025-08-28T23:45:32","Call","sms_reply","EN-007","VAR00109","positive","{""duration_sec"": 696, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0027""}}"
"INT00000018","C0000003","L0000003","CMP0027","2025-08-28T23:55:03","SMS","call_answered","EN-016","VAR00048","negative","{""duration_sec"": 574, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0027""}}"
"INT00000019","C0000003","L0000003","CMP0027","2025-08-28T23:56:15","Email","sms_sent","EN-008","VAR00034","callback_requested","{""duration_sec"": 104, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0027""}}"
"INT00000020","C0000003","L0000003","CMP0027","2025-08-28T23:57:45","Call","social_comment","EN-018","VAR00027","negative","{""duration_sec"": 604, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0027""}}"
"INT00000021","C0000003","L0000003","CMP0027","2025-08-28T23:58:33","SMS","call_made","EN-011","VAR00048","none","{""duration_sec"": 684, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0027""}}"
"INT00000022","C0000003","L0000003","CMP0027","2025-08-28T23:59:54","SMS","reply","EN-006","VAR00104","callback_requested","{""duration_sec"": 592, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0027""}}"
"INT00000023","C0000004","L0000004","CMP0001","2025-07-17T22:33:26","Ads","site_visit","EN-015","VAR00096","none","{""duration_sec"": 108, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0001""}}"
"INT00000024","C0000004","L0000004","CMP0001","2025-08-07T13:42:34","SMS","email_click","EN-012","VAR00038","callback_requested","{""duration_sec"": 503, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0001""}}"
"INT00000025","C0000004","L0000004","CMP0001","2025-08-14T02:57:02","Web","email_click","EN-012","VAR00062","none","{""duration_sec"": 862, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0001""}}"
"INT00000026","C0000004","L0000004","CMP0001","2025-08-26T20:33:32","Ads","site_visit","EN-009","VAR00020","callback_requested","{""duration_sec"": 781, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0001""}}"
"INT00000027","C0000004","L0000004","CMP0001","2025-08-28T17:30:20","Social","sms_reply","EN-020","VAR00053","negative","{""duration_sec"": 833, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0001""}}"
"INT00000028","C0000004","L0000004","CMP0001","2025-08-28T21:40:13","SMS","email_click","EN-013","VAR00012","callback_requested","{""duration_sec"": 618, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0001""}}"
"INT00000029","C0000004","L0000004","CMP0001","2025-08-28T22:07:42","Social","email_click","EN-001","VAR00043","callback_requested","{""duration_sec"": 51, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0001""}}"
"INT00000030","C0000004","L0000004","CMP0001","2025-08-28T23:18:21","Social","reply","EN-001","VAR00040","negative","{""duration_sec"": 175, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0001""}}"
"INT00000031","C0000004","L0000004","CMP0001","2025-08-28T23:42:08","Call","social_comment","EN-007","VAR00081","negative","{""duration_sec"": 682, ""utm"": {""source"": ""Google Ads"", ""campaign"": ""CMP0001""}}"
"INT00000032","C0000005","L0000005","CMP0016","2025-07-22T23:57:28","Social","social_comment","EN-004","VAR00009","negative","{""duration_sec"": 638, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
"INT00000033","C0000005","L0000005","CMP0016","2025-07-25T19:23:42","Call","reply","EN-019","VAR00026","negative","{""duration_sec"": 461, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
"INT00000034","C0000005","L0000005","CMP0016","2025-08-28T22:52:55","SMS","sms_reply","EN-017","VAR00071","positive","{""duration_sec"": 360, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
"INT00000035","C0000005","L0000005","CMP0016","2025-08-28T23:57:42","Web","call_made","EN-008","VAR00087","negative","{""duration_sec"": 94, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
"INT00000036","C0000005","L0000005","CMP0016","2025-08-28T23:58:42","Ads","sms_reply","EN-010","VAR00095","unsubscribe","{""duration_sec"": 836, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
"INT00000037","C0000005","L0000005","CMP0016","2025-08-28T23:59:03","Social","site_visit","EN-015","VAR00069","unsubscribe","{""duration_sec"": 188, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
"INT00000038","C0000005","L0000005","CMP0016","2025-08-28T23:59:15","Web","call_made","EN-008","VAR00103","none","{""duration_sec"": 85, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
"INT00000039","C0000005","L0000005","CMP0016","2025-08-28T23:59:32","Ads","reply","EN-001","VAR00033","positive","{""duration_sec"": 179, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
"INT00000040","C0000005","L0000005","CMP0016","2025-08-28T23:59:57","Web","sms_sent","EN-020","VAR00059","positive","{""duration_sec"": 884, ""utm"": {""source"": ""Website"", ""campaign"": ""CMP0016""}}"
